instr,Ecoa1,Ecoa2,Ecoa3,class,nb.repeat,attendance,difficulty
RF01023352,25,27,27,TC2011,1,0,4
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,41,45,45,TC2011,1,2,4
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,32,36,36,TC2011,1,1,3
RF01023352,39,45,45,TC2011,1,1,3
RF01023352,32,37,36,TC2011,1,1,3
RF01023352,36,36,36,TC2011,1,4,4
RF01023352,28,27,27,TC2011,1,3,4
RF01023352,27,27,27,TC2011,1,3,3
RF01023352,33,36,36,TC2011,1,2,3
RF01023352,10,9,9,TC2011,1,1,2
RF01023352,12,10,18,TC2011,1,2,3
RF01023352,39,42,40,TC2011,1,3,4
RF01023352,14,9,9,TC2011,1,3,4
RF01023352,31,36,36,TC2011,1,1,2
RF01023352,12,9,9,TC2011,1,1,4
RF01023352,40,45,45,TC2011,1,2,3
RF01023352,20,18,18,TC2011,1,2,4
RF01023352,10,9,9,TC2011,1,2,1
RF01023352,27,27,17,TC2011,1,3,3
RF01023352,27,34,35,TC2011,1,2,4
RF01023352,39,45,45,TC2011,1,1,3
RF01023352,14,18,18,TC2011,1,0,2
RF01023352,22,45,45,TC2011,1,1,2
RF01023352,20,18,18,TC2011,1,2,4
RF01023352,40,45,45,TC2011,1,3,2
RF01023352,34,36,30,TC2011,1,3,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,25,27,27,TC2011,1,1,3
RF01023352,32,36,36,TC2011,1,2,4
RF01023352,34,36,36,TC2011,1,3,3
RF01023352,15,17,18,TC2011,1,2,3
RF01023352,28,26,26,TC2011,1,3,4
RF01023352,19,18,18,TC2011,1,2,3
RF01023352,41,45,45,TC2011,1,4,2
RF01023352,8,9,9,TC2011,1,0,1
RF01023352,25,27,27,TC2011,3,1,3
RF01023352,33,40,37,TC2011,1,1,3
RF01023352,38,45,45,TC2011,1,0,3
RF01023352,27,35,21,TC2011,2,1,3
RF01023352,39,45,45,TC2011,1,1,3
RF01023352,39,45,45,TC2011,1,0,4
RF01023352,34,37,23,TC2011,1,3,4
RF01023352,40,45,45,TC2011,1,2,3
RF01023352,32,36,36,TC2011,2,1,3
RF01023352,29,36,40,TC2011,1,1,3
RF01023352,34,33,36,TC2011,1,1,5
RF01023352,39,45,45,TC2011,1,1,3
RF01023352,41,45,45,TC2011,1,3,3
RF01023352,42,45,45,TC2011,1,4,3
RF01023352,17,18,18,TC2011,1,0,3
